,0
216,STEAM_0:1:644672796
217,STEAM_0:1:60581284
218,STEAM_0:0:161867423
219,STEAM_0:1:754136438
220,STEAM_0:0:69913064
221,STEAM_0:0:451747465
222,STEAM_0:1:753996309
223,STEAM_0:0:713767294
224,STEAM_0:1:743106118
225,STEAM_0:1:537255946
226,STEAM_0:0:36899970
227,STEAM_0:0:632056305
228,STEAM_0:0:233503381
229,STEAM_0:1:754655139
230,STEAM_0:1:607421438
231,STEAM_0:1:641995171
232,STEAM_0:1:646399581
233,STEAM_0:0:755003840
234,STEAM_0:1:743468351
235,STEAM_0:0:574868550
236,STEAM_0:0:619347107
237,STEAM_0:1:700518524
238,STEAM_0:1:433421111
239,STEAM_0:1:511218828
240,STEAM_0:0:92586920
241,STEAM_0:0:725320291
242,STEAM_0:1:100844948
243,STEAM_0:0:453129810
244,STEAM_0:0:641551294
245,STEAM_0:0:118993217
246,STEAM_0:1:580809308
247,STEAM_0:0:215488218
248,STEAM_0:0:190220149
249,STEAM_0:1:220680670
250,STEAM_0:1:576005526
251,STEAM_0:0:222871903
252,STEAM_0:0:755014568
253,STEAM_0:0:35922758
254,STEAM_0:1:202292406
255,STEAM_0:1:582155886
256,STEAM_0:0:48881317
257,STEAM_0:1:755398838
258,STEAM_0:1:239516918
259,STEAM_0:0:144046880
260,STEAM_0:0:553007595
261,STEAM_0:0:180511611
262,STEAM_0:0:552158356
263,STEAM_0:0:650545340
264,STEAM_0:0:81684486
265,STEAM_0:0:34667332
266,STEAM_0:1:624116377
267,STEAM_0:0:726659040
268,STEAM_0:1:122158236
269,STEAM_0:1:755425926
270,STEAM_0:0:458479420
271,STEAM_0:1:235479774
272,STEAM_0:1:573957119
273,STEAM_0:0:574114536
274,STEAM_0:1:635177743
275,STEAM_0:1:492881318
276,STEAM_0:0:720614281
277,STEAM_0:0:428660274
278,err_10278
279,STEAM_0:1:214476775
280,STEAM_0:1:506645548
281,STEAM_0:0:586173520
282,STEAM_0:1:443838555
283,STEAM_0:1:595969318
284,STEAM_0:0:662730551
285,STEAM_0:1:694283472
286,STEAM_0:1:560906159
287,STEAM_0:0:61714059
288,STEAM_0:0:437249515
289,STEAM_0:0:471018566
290,STEAM_0:1:474836148
291,STEAM_0:1:756246364
292,STEAM_0:1:526429939
