,0
1,STEAM_0:0:60711210
2,STEAM_0:0:186431294
3,STEAM_0:0:461138836
4,STEAM_0:1:49055398
5,STEAM_0:0:85396208
6,STEAM_0:0:532164594
7,STEAM_0:0:230530929
8,STEAM_0:0:430604249
9,STEAM_0:0:508251482
10,STEAM_0:1:220212788
11,STEAM_0:1:122465485
12,STEAM_0:0:240958097
13,STEAM_0:1:430518453
14,err_14
15,STEAM_0:1:70149459
16,STEAM_0:1:51835670
17,STEAM_0:1:499520353
18,STEAM_0:1:166731810
19,STEAM_0:1:430584724
20,STEAM_0:0:203991126
21,STEAM_0:0:502712467
22,STEAM_0:1:101177613
23,STEAM_0:0:19980932
24,STEAM_0:1:539874848
25,STEAM_0:1:522167844
26,STEAM_0:1:534160120
27,STEAM_0:0:204511238
28,STEAM_0:0:552893992
29,STEAM_0:0:201777394
30,STEAM_0:1:86944499
31,STEAM_0:0:89011868
32,STEAM_0:0:503746543
33,STEAM_0:0:580838718
34,STEAM_0:1:491550555
35,STEAM_0:1:124786506
36,STEAM_0:1:60255283
37,STEAM_0:0:226331945
38,STEAM_0:0:228802929
39,STEAM_0:1:151031128
40,STEAM_0:1:455893284
41,STEAM_0:1:528821995
42,STEAM_0:0:56794945
43,STEAM_0:0:203590769
44,STEAM_0:0:210676837
45,STEAM_0:0:93509102
46,STEAM_0:0:535132992
47,STEAM_0:0:41896413
48,STEAM_0:0:88612872
49,STEAM_0:1:29607076
50,STEAM_0:1:52703616
51,STEAM_0:0:425619407
52,STEAM_0:1:214351060
53,STEAM_0:1:219382022
54,STEAM_0:1:530242559
55,STEAM_0:1:63119958
56,STEAM_0:1:422611671
57,STEAM_0:1:177766232
58,STEAM_0:1:108007389
59,STEAM_0:0:129091646
60,STEAM_0:1:233074448
61,STEAM_0:0:234705327
62,STEAM_0:1:168208581
63,STEAM_0:0:427579380
64,STEAM_0:1:455792388
65,STEAM_0:1:87564481
66,STEAM_0:0:539187871
67,STEAM_0:1:503043927
68,STEAM_0:1:182544229
69,STEAM_0:0:216320495
70,STEAM_0:0:496064411
71,STEAM_0:1:514506928
72,STEAM_0:0:145827785
73,STEAM_0:0:226638124
74,STEAM_0:1:158651587
75,STEAM_0:1:146661411
76,STEAM_0:1:420125688
77,STEAM_0:1:473778426
78,STEAM_0:1:427943983
79,STEAM_0:1:417623621
80,STEAM_0:0:54854933
81,STEAM_0:1:175260642
82,STEAM_0:1:42973133
83,STEAM_0:1:175882291
84,STEAM_0:0:237959870
85,STEAM_0:0:110284107
86,STEAM_0:0:198843081
87,STEAM_0:0:161298564
88,STEAM_0:1:52992578
89,STEAM_0:0:139078626
90,STEAM_0:1:92622918
91,STEAM_0:0:219357139
92,STEAM_0:0:52955846
93,STEAM_0:0:71062889
94,STEAM_0:0:166023851
95,STEAM_0:1:221604613
96,STEAM_0:1:216671031
97,STEAM_0:1:161207335
98,STEAM_0:1:40121928
99,STEAM_0:1:39617265
100,STEAM_0:1:161532193
101,STEAM_0:1:34071411
102,STEAM_0:1:514634280
103,STEAM_0:1:61657570
104,STEAM_0:1:147786749
105,STEAM_0:0:141245875
106,STEAM_0:1:438080585
107,STEAM_0:1:26097265
108,STEAM_0:0:503133132
109,STEAM_0:1:95263746
110,STEAM_0:0:181328584
111,STEAM_0:1:61416250
112,STEAM_0:1:202855912
113,STEAM_0:0:26780843
114,STEAM_0:1:223727727
115,STEAM_0:0:84974823
116,STEAM_0:1:549499076
117,STEAM_0:0:90227811
118,STEAM_0:1:65840239
119,STEAM_0:1:453685463
120,STEAM_0:1:464377620
121,STEAM_0:0:125046636
122,STEAM_0:1:214031498
123,STEAM_0:1:117423117
124,STEAM_0:1:234116201
125,STEAM_0:1:24779234
126,STEAM_0:1:448538825
127,STEAM_0:0:111774401
128,STEAM_0:1:167665349
129,STEAM_0:0:160953501
130,STEAM_0:1:223663027
131,STEAM_0:0:153566104
132,STEAM_0:1:226999358
133,STEAM_0:0:243911569
134,STEAM_0:1:81999486
135,STEAM_0:0:455983982
136,STEAM_0:1:66545829
137,STEAM_0:1:242611304
138,STEAM_0:0:224432368
139,STEAM_0:1:546097061
140,STEAM_0:1:70098799
141,STEAM_0:0:441866013
142,STEAM_0:1:67270240
143,STEAM_0:1:421289244
144,STEAM_0:1:429392265
145,STEAM_0:1:508054685
146,STEAM_0:0:85116836
147,STEAM_0:0:40206431
148,STEAM_0:1:171303917
149,STEAM_0:0:490502730
150,STEAM_0:0:44746375
151,STEAM_0:1:82852220
152,STEAM_0:0:154030557
153,STEAM_0:1:194746908
154,STEAM_0:1:54090601
155,STEAM_0:0:485392583
156,STEAM_0:1:211428602
157,STEAM_0:1:124338984
158,STEAM_0:0:163068686
159,STEAM_0:0:501415269
160,STEAM_0:0:26111957
161,STEAM_0:1:65444464
162,STEAM_0:1:1874020
163,STEAM_0:1:35996842
164,STEAM_0:0:70187091
165,STEAM_0:0:455816596
166,STEAM_0:1:446471229
167,STEAM_0:0:151455961
168,STEAM_0:0:220150014
169,STEAM_0:0:135870850
170,STEAM_0:0:137958753
171,STEAM_0:0:495488921
172,STEAM_0:0:162113303
173,STEAM_0:0:183895944
174,STEAM_0:0:466937472
175,STEAM_0:1:229175137
176,STEAM_0:1:210965138
177,STEAM_0:1:531325969
178,STEAM_0:0:438633147
179,STEAM_0:0:144069428
180,STEAM_0:0:48769166
181,STEAM_0:0:213499428
182,STEAM_0:0:51552463
183,STEAM_0:1:427172025
184,STEAM_0:0:149993253
185,STEAM_0:1:153868987
186,STEAM_0:0:499720639
187,STEAM_0:0:469906302
188,STEAM_0:0:423731192
189,STEAM_0:1:121250515
190,STEAM_0:0:52304077
191,STEAM_0:0:530499183
192,STEAM_0:1:6005765
193,STEAM_0:0:448265041
194,STEAM_0:1:244399861
195,STEAM_0:1:123429501
196,STEAM_0:0:170603425
197,STEAM_0:1:223574350
198,STEAM_0:0:141867501
199,STEAM_0:0:95058164
200,STEAM_0:0:60021797
201,STEAM_0:1:59968414
202,STEAM_0:0:65078244
203,STEAM_0:0:230755132
204,STEAM_0:0:538056693
205,STEAM_0:0:178042797
206,STEAM_0:1:59810609
207,STEAM_0:1:86995836
208,STEAM_0:1:425817920
209,STEAM_0:1:219607148
210,STEAM_0:1:503975839
211,STEAM_0:1:204704821
212,STEAM_0:1:32281409
213,STEAM_0:1:121507729
214,STEAM_0:0:432626933
215,STEAM_0:0:26285802
216,STEAM_0:1:506508329
217,STEAM_0:0:69980523
218,STEAM_0:1:463020667
219,STEAM_0:0:200159958
220,STEAM_0:0:128054442
221,STEAM_0:0:159783336
222,STEAM_0:0:455840521
223,STEAM_0:0:225108443
224,STEAM_0:1:196992901
225,STEAM_0:1:512571848
226,STEAM_0:0:449776254
227,STEAM_0:1:111834509
228,STEAM_0:1:425930756
229,STEAM_0:0:38762811
230,NaN_230-time cost 5.271 s
231,STEAM_0:1:90827770
232,STEAM_0:1:817443
233,STEAM_0:1:70568310
234,err_234
235,STEAM_0:1:47422990
236,STEAM_0:1:224354021
237,STEAM_0:0:86741864
238,STEAM_0:1:539818077
239,STEAM_0:0:221645667
240,STEAM_0:1:74613889
241,STEAM_0:0:40921373
242,STEAM_0:0:166934604
243,STEAM_0:0:242405092
244,STEAM_0:1:459450298
245,STEAM_0:1:231022701
246,STEAM_0:1:63806416
247,STEAM_0:0:141170025
248,STEAM_0:1:506732408
249,STEAM_0:1:237395000
250,STEAM_0:0:538506613
251,STEAM_0:0:171404314
252,STEAM_0:1:229073852
253,STEAM_0:1:58094549
254,STEAM_0:1:79288547
255,STEAM_0:1:117105726
256,STEAM_0:0:144342805
257,STEAM_0:1:152146958
258,STEAM_0:1:118073585
259,STEAM_0:0:98509369
260,STEAM_0:0:26940528
261,STEAM_0:0:79117115
262,STEAM_0:1:116284461
263,STEAM_0:0:199459924
264,err_264
265,STEAM_0:0:539975951
266,STEAM_0:1:147303361
267,STEAM_0:0:98796044
268,STEAM_0:1:434530914
269,STEAM_0:0:106564661
270,STEAM_0:0:99269749
271,STEAM_0:0:446629204
272,STEAM_0:0:215199569
273,STEAM_0:0:145373384
274,STEAM_0:0:525681904
275,STEAM_0:1:171133085
276,STEAM_0:0:502267511
277,STEAM_0:0:208612329
278,STEAM_0:0:225600662
279,STEAM_0:0:443802717
280,STEAM_0:0:221072868
281,STEAM_0:0:121170300
282,STEAM_0:0:52481961
283,STEAM_0:1:439567512
284,STEAM_0:0:527626222
285,STEAM_0:1:58863098
286,STEAM_0:0:34701785
287,STEAM_0:1:49435596
288,STEAM_0:1:79279128
289,STEAM_0:0:71110658
290,STEAM_0:0:475443308
291,STEAM_0:0:90086305
292,STEAM_0:0:211842247
293,STEAM_0:0:78000564
294,STEAM_0:0:515923603
295,STEAM_0:1:420977691
296,STEAM_0:0:59476298
297,STEAM_0:0:509478850
298,STEAM_0:0:233116025
299,STEAM_0:1:99139582
300,STEAM_0:0:70435743
301,STEAM_0:0:426543591
302,STEAM_0:0:55972459
303,STEAM_0:1:506579880
304,STEAM_0:0:167000744
305,STEAM_0:0:151336090
306,STEAM_0:1:532453637
307,STEAM_0:1:62132719
308,STEAM_0:1:20008534
309,STEAM_0:1:73125141
310,STEAM_0:1:526477443
311,STEAM_0:1:94827352
312,err_312
313,err_313
314,STEAM_0:0:201602302
315,STEAM_0:0:535634838
316,STEAM_0:0:229354195
317,STEAM_0:0:517870758
318,STEAM_0:0:162242048
319,STEAM_0:1:73207658
320,STEAM_0:0:426515774
321,STEAM_0:1:423874107
