,0
217,STEAM_0:0:54832316
218,STEAM_0:1:427837372
219,STEAM_0:0:35323537
220,STEAM_0:1:200335756
221,STEAM_0:0:442098639
222,STEAM_0:1:211118639
223,STEAM_0:1:77465056
224,STEAM_0:1:582485267
225,STEAM_0:1:527261333
226,STEAM_0:1:193642856
227,STEAM_0:0:863353811
228,STEAM_0:0:856462168
229,STEAM_0:0:654242731
230,STEAM_0:1:652698971
231,STEAM_0:1:183324314
232,STEAM_0:1:84640409
233,STEAM_0:1:64622363
234,STEAM_0:1:583761990
235,STEAM_0:0:19674597
236,STEAM_0:1:95056205
237,STEAM_0:0:54926242
238,STEAM_0:0:51877203
239,STEAM_0:1:816223241
240,STEAM_0:1:511050060
241,STEAM_0:1:695666321
242,STEAM_0:1:71517929
243,STEAM_0:0:619554960
244,STEAM_0:1:634613786
245,STEAM_0:1:555282050
246,STEAM_0:1:81071221
247,STEAM_0:1:219617557
248,STEAM_0:0:235444388
249,STEAM_0:1:558265907
250,STEAM_0:1:550165497
251,STEAM_0:1:419236645
252,STEAM_0:0:67904100
253,STEAM_0:0:796490543
254,STEAM_0:0:862933501
255,STEAM_0:1:186313979
256,STEAM_0:0:628326573
257,STEAM_0:1:576902989
258,STEAM_0:1:236779369
259,STEAM_0:1:739065766
260,STEAM_0:1:702780408
261,STEAM_0:0:244006183
262,STEAM_0:0:863953158
263,STEAM_0:1:57795762
264,STEAM_0:0:864234987
265,STEAM_0:0:703683387
266,STEAM_0:1:177408036
267,STEAM_0:1:775730343
268,STEAM_0:0:638541257
269,STEAM_0:0:69014115
270,STEAM_0:1:698849287
271,STEAM_0:0:540782627
272,STEAM_0:0:438651634
273,STEAM_0:1:436190040
274,STEAM_0:0:779901063
275,STEAM_0:0:777372921
276,STEAM_0:1:25463299
277,STEAM_0:0:39973374
278,STEAM_0:1:93474638
279,STEAM_0:1:835629974
280,STEAM_0:0:517859622
281,STEAM_0:1:713795209
282,STEAM_0:1:618630044
283,STEAM_0:1:1507588
284,STEAM_0:1:862513008
285,STEAM_0:1:664306339
286,STEAM_0:1:630738378
287,STEAM_0:0:530959275
288,STEAM_0:0:797894223
289,STEAM_0:0:506229605
290,err_20290
291,STEAM_0:1:679635692
292,STEAM_0:0:528759285
293,STEAM_0:1:580095366
294,STEAM_0:0:70844262
295,STEAM_0:0:187716525
296,STEAM_0:0:605581251
297,STEAM_0:0:498522487
298,STEAM_0:1:615466900
299,STEAM_0:1:776739128
300,STEAM_0:1:852350021
301,STEAM_0:0:799352803
302,STEAM_0:0:798292
303,STEAM_0:1:573938716
304,STEAM_0:1:705971670
305,STEAM_0:1:435504073
306,STEAM_0:0:443679410
307,STEAM_0:1:52310174
308,STEAM_0:0:559070570
309,STEAM_0:1:762538224
310,STEAM_0:0:864318017
311,STEAM_0:1:567200481
312,STEAM_0:0:84918044
313,STEAM_0:0:717582635
314,STEAM_0:0:722316261
315,STEAM_0:1:643205375
316,STEAM_0:1:605392823
317,STEAM_0:0:233635374
318,STEAM_0:0:214724273
319,STEAM_0:1:207621965
320,STEAM_0:0:562382332
321,STEAM_0:1:453903282
322,STEAM_0:0:637664512
323,STEAM_0:1:207429882
324,STEAM_0:0:555237229
325,STEAM_0:1:754713230
326,STEAM_0:0:431746179
327,STEAM_0:1:500566299
328,STEAM_0:0:130600608
329,STEAM_0:1:784105154
330,STEAM_0:0:741591328
331,STEAM_0:1:124858257
332,STEAM_0:1:100594305
333,NaN_20333-time cost 5.676 s
334,STEAM_0:0:778417411
335,STEAM_0:1:73672166
336,STEAM_0:1:123509003
337,STEAM_0:1:27568127
338,STEAM_0:1:693828971
339,STEAM_0:1:98463555
340,STEAM_0:1:86803303
341,STEAM_0:1:559359940
342,STEAM_0:1:851259048
343,STEAM_0:0:539886029
344,STEAM_0:1:201524338
345,STEAM_0:1:603112473
346,STEAM_0:0:847739639
347,STEAM_0:0:135908212
348,STEAM_0:1:618551636
349,STEAM_0:0:448271000
350,STEAM_0:0:861636426
351,STEAM_0:0:173893588
352,STEAM_0:1:64714786
353,STEAM_0:1:190932783
354,STEAM_0:1:514975193
355,STEAM_0:0:432537928
356,STEAM_0:1:711588701
357,STEAM_0:0:91390826
358,STEAM_0:0:604673132
359,STEAM_0:1:427982095
360,STEAM_0:1:434570185
361,STEAM_0:0:710083869
362,STEAM_0:0:754130481
363,STEAM_0:1:193583628
364,err_20364
365,STEAM_0:1:172369542
366,STEAM_0:0:85512267
367,STEAM_0:1:38022593
368,STEAM_0:0:628410026
369,STEAM_0:0:620265131
370,STEAM_0:1:201982396
371,STEAM_0:1:546836418
372,STEAM_0:0:739666697
373,STEAM_0:1:865506430
374,STEAM_0:1:75783431
375,STEAM_0:1:10904735
376,STEAM_0:0:782494936
377,STEAM_0:1:452480549
378,STEAM_0:1:226059736
379,STEAM_0:1:26322239
380,STEAM_0:0:634309798
381,STEAM_0:1:76949386
382,STEAM_0:1:128871141
383,STEAM_0:1:864850737
384,err_20384
385,STEAM_0:1:473819937
386,STEAM_0:0:171526318
387,STEAM_0:1:173147032
388,STEAM_0:1:510975153
389,STEAM_0:0:175385055
390,STEAM_0:1:154237451
391,STEAM_0:0:543259474
392,STEAM_0:1:861728493
393,STEAM_0:1:181178272
394,STEAM_0:0:160592889
395,STEAM_0:0:19508910
396,STEAM_0:0:521127206
397,STEAM_0:1:570813951
398,STEAM_0:1:204681891
399,STEAM_0:0:139670585
400,STEAM_0:1:182673161
401,STEAM_0:0:864714191
402,STEAM_0:0:429171772
403,STEAM_0:1:197718976
404,STEAM_0:0:207209428
405,STEAM_0:0:502441892
406,STEAM_0:1:34266249
407,STEAM_0:0:729806771
408,STEAM_0:0:137407606
409,STEAM_0:0:92892095
410,STEAM_0:0:206427970
411,STEAM_0:1:536393118
412,STEAM_0:0:634812521
413,err_20413
414,STEAM_0:1:773247338
415,STEAM_0:0:778588117
416,STEAM_0:0:43876848
417,STEAM_0:0:8427913
418,STEAM_0:0:473026228
419,STEAM_0:1:827302344
420,err_20420
421,STEAM_0:0:103760666
422,STEAM_0:0:427804472
423,STEAM_0:0:418245074
424,STEAM_0:0:843221015
425,STEAM_0:0:116155161
426,STEAM_0:1:428835847
427,STEAM_0:0:86694112
428,STEAM_0:0:111084555
429,STEAM_0:1:34755194
430,STEAM_0:1:244804182
431,STEAM_0:1:72728975
432,STEAM_0:1:203815676
433,STEAM_0:1:96595136
434,STEAM_0:1:865854944
435,STEAM_0:0:534829313
436,STEAM_0:1:663434972
437,STEAM_0:1:507994449
438,STEAM_0:1:24127739
439,err_20439
440,STEAM_0:1:706573725
441,STEAM_0:1:635765452
442,STEAM_0:0:162047402
443,STEAM_0:1:765172929
444,STEAM_0:1:420319883
445,STEAM_0:0:61191170
446,STEAM_0:1:393577915
447,STEAM_0:1:713343635
448,STEAM_0:1:202422231
449,STEAM_0:0:714489431
450,STEAM_0:0:485148782
451,STEAM_0:1:4444170
452,STEAM_0:0:148277884
453,STEAM_0:0:507772660
454,STEAM_0:1:564201656
455,STEAM_0:1:99680138
456,STEAM_0:1:102443354
457,STEAM_0:1:444858030
458,STEAM_0:1:789939828
459,STEAM_0:0:228590279
460,STEAM_0:0:7507120
461,STEAM_0:1:487263341
462,STEAM_0:0:184562077
463,STEAM_0:1:151067667
464,STEAM_0:0:461236280
465,STEAM_0:1:19041760
466,STEAM_0:0:663560708
467,STEAM_0:0:444595715
468,STEAM_0:1:175268370
469,STEAM_0:1:840773343
470,STEAM_0:1:189686232
471,STEAM_0:0:822968448
472,STEAM_0:0:185018552
473,STEAM_0:0:617515058
474,STEAM_0:0:686350009
475,STEAM_0:1:156359391
476,STEAM_0:1:215691913
477,STEAM_0:0:782800473
478,STEAM_0:0:641529663
479,STEAM_0:0:516953942
480,STEAM_0:1:20339806
481,STEAM_0:0:25649752
482,STEAM_0:0:30394888
483,STEAM_0:1:151782194
484,STEAM_0:0:752984483
485,STEAM_0:1:3779224
486,STEAM_0:0:91675409
487,STEAM_0:1:853228810
488,STEAM_0:1:663598241
489,STEAM_0:1:463068126
490,STEAM_0:0:127728882
491,STEAM_0:0:229572119
492,STEAM_0:1:447768702
493,STEAM_0:0:438086411
494,STEAM_0:0:197106520
495,STEAM_0:0:221249913
496,STEAM_0:1:127641729
497,STEAM_0:1:29451736
498,STEAM_0:0:578532901
499,STEAM_0:0:456829105
500,STEAM_0:1:865882137
501,STEAM_0:0:551212273
502,STEAM_0:0:866614346
503,STEAM_0:1:68229788
